user_name,comment,likes,sentiment
i'm Yours,"please kak, jangan sering2 ngibas2in rambut, kasian kaum adam pada berdarah idungnya :v",35,1
Ahoung Shadananda,Beauty girl n Nice Smile..🌹,2,1
Arc mage,I love you ♥️♥️,3,1
Achmad Farchanni,i see an angel <3,2,1
Deno Circo,Sing'Despacito',1,1
John Lopez,Your voice is sweet and I just love your beauty.,,1
faruq taufik hidayat,finally i found ma lullabies,1,1
Aldine Pradigya,"sis Cover ""LOSE"" nya NIki dongggg",,1
PREDY THUNG,Perfect 😍,2,1
Dede,Waiting you in real.,1,1
Giancarlo Aquino,Here one more fan from Latin America - RoK member K2008 - TzDurhamPro,,1
Jestoni Roscom,new fan here <3,1,1
Ban Yonsoi,"Love it keep it up😘
Can't wait for another song👍",,1
Shiva Agastasia,I loveee thiss,1,1
Meteorite Collector,"good voice , my babie",1,1
Rica Roles,Hay kamu yang cantik semangat ya...,1,1
Boyet Cimanes,"Nice performance, love it",,1
MR. NOVO OFFICIAL,Aisheti imasu..the 1st time i saw you..😍😍😍💗💗💗,,1
Ruvix Reyez,"Wooo, I'm a fan",,1
tau ah males,Wow...😍😍,1,1
Handoyo Kuroko,"I,m so like you",1,1
Melly Ani,Good Voice ❤❤,1,1
Rory Oktavianus,I dont care about the song.. she's so prettyyyy & cutttteeeee...😍😍,8,1
Goodgame,Stay safe there. wish the spread of coronavirus in the US stop soon,5,1
Spectre Ways,Pengen jadi microphone nya..biar dinyanyiin tiap hari,2,1
Faisal l,"Bagus kak suaranya, salam dari aku di tangerang!",2,1
Kie Lunju,setingan quality video gua naikin dong ke HD.,1,1
Anddary Amn19,"Terbaik valerie,. Kamu ada studio rekoding d rumah ya,. Sbb mantap bangat ni studioathome 😀",1,1
Antonius Prasetyo,merinding mulai dari telinga,1,1
gregorius toro,anjir lagu baru 4 aja dah subsriber nya ratusan ribuan:)) kaum2 adam semua nih wkwk,1,1
Andreas Chandra,Wow..❤️,1,1
Faizal Adnan,"Valerie, sejak hari ini aku fansmu~",2,1
awi sutanto,Kamu malaikat yang diluar jangkauan... terus semangat yaa :),3,1
Charles Caesien,Listen to you make my heart melted like an ice cream 🙈,3,1
vahatriniaina ramaheninarivo,"my definition of ""perfection"" hmmmm",2,1
Tri Setio,parah sih cantiknya,1,1
NOB GAMING,Kok jarang Upload mba Cantik,1,-1
Phem Official,You’re beautiful 💞,4,1
Muhammad Ibrahim Alkhalil,tatapan matanya tajam banget kak wkwkwkwk,2,1
Jerry Medan,👍👍👍👍,2,1
Eka Saputra,"lagu dan kamunya bikin menenangkan perasaaan, suka lihat senyum manis mu , bahkan tak bisa berhenti menatap kecantikan yang terpancarkan olehmu~ <3",3,1
Ri Na,Love you,1,1
yoseph batubara,Cantik bgt cee.. saranghae..,1,1
Dicki Aritonang,Bisa request?,1,1
Ocean Man,You gonna go big kiddo! More covers n' up ur production quality n' boom ur there.,5,1
